Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,151.830002,157.000000,151.649994,156.500000,156.322113,24469815
2024-04-02,154.750000,155.990005,153.460007,155.869995,155.692825,17598064
2024-04-03,154.919998,156.550003,154.132095,156.369995,156.192261,17266175
2024-04-04,155.080002,156.179993,151.880005,151.940002,151.767303,24184842
2024-04-05,151.679993,154.839996,151.080994,153.940002,153.765030,16297319
2024-04-08,154.014999,156.654999,153.990005,156.139999,155.962524,16641530
2024-04-09,157.350006,159.889999,156.639999,158.139999,157.960251,21538140
2024-04-10,157.880005,158.160004,156.199997,157.660004,157.480804,16339174
2024-04-11,158.339996,161.119904,157.929993,160.789993,160.607224,17841703
2024-04-12,159.404999,161.699997,158.600006,159.190002,159.009064,16989765
2024-04-15,160.279999,160.830002,156.149994,156.330002,156.152313,21140948
2024-04-16,155.639999,157.229996,155.050003,156.000000,155.822678,15413201
2024-04-17,157.190002,158.681000,156.134995,156.880005,156.701691,16237752
2024-04-18,156.925003,158.485001,156.210007,157.460007,157.281021,14016065
2024-04-19,157.750000,157.990005,153.910004,155.720001,155.542999,21479881
2024-04-22,156.009995,159.184998,155.660004,157.949997,157.770462,17243870
2024-04-23,158.589996,160.479996,157.964996,159.919998,159.738220,16115408
2024-04-24,159.089996,161.389999,158.820007,161.100006,160.916885,19485694
2024-04-25,153.360001,158.279999,152.768005,157.949997,157.770462,36197789
2024-04-26,175.990005,176.419998,171.399994,173.690002,173.492569,56500787
2024-04-29,170.770004,171.380005,167.059998,167.899994,167.709152,35914561
2024-04-30,167.380005,169.869995,164.500000,164.639999,164.452866,29420755
2024-05-01,166.179993,168.809998,164.899994,165.570007,165.381805,25223245
2024-05-02,166.669998,168.529999,165.690002,168.460007,168.268524,17041119
2024-05-03,169.539993,169.850006,164.979996,168.990005,168.797928,22767056
2024-05-06,169.220001,169.899994,167.889999,169.830002,169.636963,15147906
2024-05-07,170.119995,173.470001,170.000000,172.979996,172.783371,21102434
2024-05-08,170.750000,171.909195,170.522003,171.160004,170.965454,14569858
2024-05-09,171.149994,172.440002,169.929993,171.580002,171.384979,11937704
2024-05-10,169.690002,171.339996,167.910004,170.289993,170.096436,18740458
2024-05-13,165.847000,170.949997,165.759995,170.899994,170.705734,19648585
2024-05-14,171.589996,172.779999,170.419998,171.929993,171.734573,18729463
2024-05-15,172.300003,174.045898,172.029999,173.880005,173.682358,20958245
2024-05-16,174.600006,176.339996,174.050003,175.429993,175.230591,17247311
2024-05-17,175.550003,177.494995,174.979996,177.289993,177.088470,16546353
2024-05-20,177.309998,179.949997,177.225006,178.460007,178.257156,17495122
2024-05-21,178.399994,179.820007,177.309998,179.539993,179.335922,14706021
2024-05-22,178.399994,178.852005,176.780106,178.000000,177.797668,16189404
2024-05-23,178.779999,179.910004,174.539993,175.059998,174.861008,14928363
2024-05-24,176.520004,177.304398,175.199997,176.330002,176.129578,11403560
2024-05-28,175.740005,178.509995,175.679993,178.020004,177.817657,15655340
2024-05-29,176.809998,178.229996,176.259995,177.399994,177.198349,15023847
2024-05-30,176.690002,176.690002,173.229996,173.559998,173.362717,18844036
2024-05-31,173.399994,174.419998,170.970001,173.960007,173.762268,28085151
2024-06-03,173.880005,175.860001,172.449997,174.419998,174.221741,20742798
2024-06-04,174.449997,175.190002,173.220001,175.130005,174.930939,14066602
2024-06-05,176.535004,177.970001,175.289993,177.070007,176.868744,15233861
2024-06-06,177.429993,178.710007,177.210007,178.350006,178.147278,14255818
2024-06-07,178.460007,179.419998,175.789993,175.949997,175.750000,14716270
2024-06-10,176.449997,178.470001,174.380005,176.630005,176.630005,17122247
2024-06-11,177.720001,178.389999,175.440002,178.190002,178.190002,14402401
2024-06-12,179.750000,182.080002,177.779999,179.559998,179.559998,18600421
2024-06-13,177.839996,178.509995,176.660004,176.740005,176.740005,15956941
2024-06-14,175.852005,178.729996,175.852005,178.369995,178.369995,12361571
2024-06-17,176.979996,179.919998,176.490005,178.779999,178.779999,15272864
2024-06-18,178.789993,178.910004,175.619995,176.449997,176.449997,15640257
2024-06-20,176.710007,178.740005,176.460007,177.710007,177.710007,16753166
2024-06-21,178.490005,182.511703,178.059998,180.259995,180.259995,59728019
2024-06-24,181.279999,182.080002,180.229996,180.789993,180.789993,18198282
2024-06-25,181.145004,185.750000,181.104996,185.580002,185.580002,18917734
2024-06-26,184.199997,185.929993,183.990005,185.369995,185.369995,13375715
2024-06-27,185.645004,187.500000,185.449997,186.860001,186.860001,13025656
2024-06-28,185.720001,186.580002,183.324997,183.419998,183.419998,23032362
